英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Xian-Ming Zhang,17028,aZcLkqgAAAAJ,https://www.swinburne.edu.au/research/our-research/access-our-research/find-a-researcher-or-supervisor/researcher-profile/?id=xianmingzhang,,https://au.linkedin.com/in/xi-zhang-5b30601b4
Pascal Lamblin,16898,bn4xHHIAAAAJ,,,
Douglas Eck,16860,bLb3VdIAAAAJ,http://research.google.com/pubs/author39086.html,,https://www.linkedin.com/showcase/googleresearch/
Rupesh Kumar Srivastava,16638,vTWuk1gAAAAJ,https://rupeshks.cc/,rupspace,https://www.linkedin.com/in/rupesh-srivastava-7a2441175/
"Taylor Young, MD, MA",16377,jtPXU-sAAAAJ,,,
Hans Peter Graf,16126,yIkgW-cAAAAJ,,,https://www.linkedin.com/in/hans-peter-graf-a2612212
Yi Zhang,16076,RaqG37kAAAAJ,http://www.machineilab.org/users/zhangyi,,https://cn.linkedin.com/in/yi-zhang-4353b446
Michael Strickland,15885,ieRqR2cAAAAJ,https://sites.google.com/view/michael-strickland-pubs/home,,
Marco Zorzi,15657,MgF3uIMAAAAJ,http://ccnl.psy.unipd.it/,,
Danil Prokhorov,15565,7GTfQmgAAAAJ,,,
Dimitri Solomatine,15516,3HMqIZEAAAAJ,,,https://nl.linkedin.com/in/dimitri-solomatine-21470435
Yaron Lipman,15466,vyteiT4AAAAJ,,lipmanya,https://il.linkedin.com/in/yaron-lipman-71b05342
Jiatao Gu,15075,cB1mFBsAAAAJ,https://jiataogu.me/,thoma_gu,https://www.linkedin.com/in/jiatao-gu-204b2672/
Xavier Martinet,14929,GLfTggQAAAAJ,,,https://fr.linkedin.com/in/xaviermartinet
Leszek Rutkowski,14902,DrCG7jAAAAAJ,https://www.ae-info.org/ae/Member/Rutkowski_Leszek,,
Robin Rombach,14734,ygdQhrIAAAAJ,,robrombach,
Roberto Battiti,14701,fO-wkZkAAAAJ,http://rtm.science.unitn.it/~battiti/,rbattiti,https://it.linkedin.com/in/robertobattiti
Mahmoud Omid,14641,1LnABgMAAAAJ,http://can.ut.ac.ir/member/omid.aspx,,https://ir.linkedin.com/in/omid-mahmoudi-a0666a87
Thomas Martinetz,14586,0-tDtUIAAAAJ,https://www.inb.uni-luebeck.de/en/mitarbeiter/mitarbeiter/professoren/thomas-martinetz-english?tx_wapublications_pi1[action]=0&tx_wapublications_pi1[id]=2233&cHash=379ee835751811328293ac96031a3119,,https://de.linkedin.com/in/thomas-martinetz-10573a6
naira hovakimyan,14528,8mA9QpUAAAAJ,http://naira-hovakimyan.mechse.illinois.edu/,NHovakimyan,https://www.linkedin.com/in/nhovakim?trk=public_post_feed-actor-image
Kate Smith-Miles,14460,6XkFa7kAAAAJ,http://katesmithmiles.wixsite.com/home,,https://au.linkedin.com/in/kate-smith-miles-ao-717aa91
Behnam Neyshabur,14444,e1ucbCYAAAAJ,,bneyshabur,https://www.linkedin.com/in/bneyshabur
